stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
82,205053,"Torrance Bl at Denker Av",,33.842014,-118.303442,,,,,,2
83,205051,"Torrance Bl at Western Av",,33.838628,-118.308797,,,,,,2
84,205049,"Torrance Bl at Van Ness Av & Cabrillo Av",,33.836453,-118.315142,,,,,,2
85,205047,"Torrance Bl at Sartori Av & Engracia Av",,33.836425,-118.317475,,,,,,2
86,205045,"Torrance Bl at Arlington Av",,33.836533,-118.320294,,,,,,2
87,205043,"Torrance Bl at Cota Av",,33.836514,-118.322708,,,,,,2
88,205041,"Torrance Bl at Madrid Av",,33.836492,-118.324750,,,,,,2
89,205039,"Torrance Bl at Crenshaw Bl",,33.836467,-118.329264,,,,,,2
90,205037,"Torrance Bl at Fern Av",,33.836414,-118.332108,,,,,,2
91,205035,"Torrance Bl at Hickory Av",,33.836369,-118.334456,,,,,,2
92,205031,"Torrance Bl at Maple Av",,33.836356,-118.339838,,,,,,2
93,205029,"Torrance Bl at Torrance Civic Center",,33.836989,-118.342431,,,,,,2
94,205027,"Torrance Bl at Madrona Av",,33.837717,-118.345558,,,,,,2
95,205025,"Torrance Bl at Amie Av",,33.837686,-118.349683,,,,,,2
96,564063,"Hawthorne Bl at Torrance Bl",,33.837039,-118.353761,,,,,,2
97,564061,"Hawthorne Bl at Del Amo Circle West",,33.833469,-118.353147,,,,,,2
99,564059,"Hawthorne Bl at Carson St",,33.831169,-118.352756,,,,,,2
102,592025,"Crenshaw Bl between Pacific Coast Hwy & Airport Dr",,33.792882,-118.331728,,,,,,2
103,592027,"Crenshaw Bl at Skypark Dr",,33.801909,-118.327870,,,,,,2
104,592029,"Crenshaw Bl at Lomita Bl",,33.806170,-118.327798,,,,,,2
105,592031,"Crenshaw Bl at 237th St",,33.810247,-118.327899,,,,,,2
106,592033,"Crenshaw Bl at 235th St",,33.813112,-118.327915,,,,,,2
107,592035,"Crenshaw Bl at 229th St",,33.818394,-118.327894,,,,,,2
108,592037,"Crenshaw Bl at Sepulveda Bl",,33.822143,-118.328275,,,,,,2
109,592039,"Crenshaw Bl at Park Del Amo & SCROC",,33.824740,-118.328367,,,,,,2
110,592041,"Crenshaw Bl at Plaza Del Amo",,33.826895,-118.328420,,,,,,2
111,592043,"Crenshaw Bl at Monterey St",,33.829262,-118.328441,,,,,,2
112,592045,"Crenshaw Bl at Carson St",,33.831678,-118.328443,,,,,,2
113,592047,"Crenshaw Bl at El Dorado St",,33.834296,-118.328490,,,,,,2
114,592049,"Crenshaw Bl at Torrance Bl",,33.836734,-118.328530,,,,,,2
115,592051,"Crenshaw Bl at Maricopa St",,33.839169,-118.328552,,,,,,2
117,592055,"Crenshaw Bl at Del Amo Bl",,33.847103,-118.328638,,,,,,2
118,592057,"Crenshaw Bl at 190th St",,33.858821,-118.327473,,,,,,2
119,592059,"Crenshaw Bl at 186th St",,33.861469,-118.326327,,,,,,2
120,592061,"Crenshaw Bl at 182nd St",,33.866618,-118.326367,,,,,,2
121,592063,"Crenshaw Bl at 178th St",,33.869484,-118.326326,,,,,,2
122,592065,"Crenshaw Bl at Artesia Bl",,33.873086,-118.326339,,,,,,2
123,592067,"Crenshaw Bl at 171st St",,33.875044,-118.326350,,,,,,2
124,592069,"Crenshaw Bl at 168th St",,33.877683,-118.326350,,,,,,2
125,592071,"Crenshaw Bl at 166th St & Cherry Av",,33.879886,-118.326347,,,,,,2
126,592073,"Crenshaw Bl at Redondo Beach Bl",,33.883322,-118.326375,,,,,,2
127,592075,"Crenshaw Bl at El Camino College",,33.885419,-118.326383,,,,,,2
128,592077,"Crenshaw Bl at Manhattan Beach Bl",,33.887944,-118.326382,,,,,,2
129,592079,"Crenshaw Bl at 154th St",,33.891281,-118.326386,,,,,,2
130,592081,"Crenshaw Bl at Marine Av",,33.894408,-118.326394,,,,,,2
131,592083,"Crenshaw Bl at 147th St",,33.898561,-118.326375,,,,,,2
132,592085,"Crenshaw Bl at Rosecrans Av",,33.901697,-118.326399,,,,,,2
133,592087,"Crenshaw Bl at 139th St",,33.905842,-118.326367,,,,,,2
134,592089,"Crenshaw Bl at 135th St",,33.909603,-118.326358,,,,,,2
135,592091,"Crenshaw Bl at 132nd St",,33.912372,-118.326367,,,,,,2
136,592093,"Crenshaw Bl at El Segundo Bl",,33.916136,-118.326364,,,,,,2
137,592095,"Crenshaw Bl at Jack Northrop Av",,33.919372,-118.326356,,,,,,2
138,592097,"Crenshaw Station (Northbound Bay)",,33.925382,-118.326282,,,,,,2
140,594103,"Crenshaw Station (Southbound Bay)",,33.925155,-118.326741,,,,,,2
141,594101,"Crenshaw Bl at Jack Northrop Av",,33.919887,-118.326682,,,,,,2
142,594099,"Crenshaw Bl at El Segundo Bl",,33.916042,-118.326667,,,,,,2
143,594097,"Crenshaw Bl at 132nd St",,33.912089,-118.326656,,,,,,2
144,594095,"Crenshaw Bl at 135th St",,33.908919,-118.326656,,,,,,2
145,594093,"Crenshaw Bl at 139th St",,33.905953,-118.326661,,,,,,2
146,594091,"Crenshaw Bl at Rosecrans Av",,33.902178,-118.326656,,,,,,2
147,594089,"Crenshaw Bl at 147th St",,33.898569,-118.326658,,,,,,2
148,594087,"Crenshaw Bl at Marine Av",,33.894392,-118.326672,,,,,,2
149,594085,"Crenshaw Bl at 154th St",,33.890706,-118.326672,,,,,,2
150,594081,"Crenshaw Bl at Manhattan Beach Bl",,33.887114,-118.326692,,,,,,2
151,594079,"Crenshaw Bl at El Camino College",,33.885539,-118.326700,,,,,,2
152,594077,"Crenshaw Bl at Redondo Beach Bl",,33.882458,-118.326630,,,,,,2
153,594075,"Crenshaw Bl at 166th St & Cherry Av",,33.880217,-118.326614,,,,,,2
154,594073,"Crenshaw Bl at 168th St",,33.877992,-118.326628,,,,,,2
155,594071,"Crenshaw Bl at 171st St",,33.875347,-118.326617,,,,,,2
156,594069,"Crenshaw Bl at Artesia Bl",,33.873239,-118.326625,,,,,,2
157,594067,"Crenshaw Bl at 178th St",,33.868898,-118.326614,,,,,,2
158,594065,"Crenshaw Bl at 182nd St",,33.865222,-118.326629,,,,,,2
160,594061,"Crenshaw Bl at 190th St",,33.857862,-118.328497,,,,,,2
161,594059,"Crenshaw Bl at Del Amo Bl",,33.846615,-118.328947,,,,,,2
163,594055,"Crenshaw Bl at Maricopa St",,33.839121,-118.328863,,,,,,2
164,594053,"Crenshaw Bl at Torrance Bl",,33.836619,-118.328860,,,,,,2
165,594051,"Crenshaw Bl at El Dorado St",,33.834627,-118.328794,,,,,,2
166,594049,"Crenshaw Bl at Carson St",,33.831047,-118.328738,,,,,,2
167,594047,"Crenshaw Bl at Monterey St",,33.829752,-118.328732,,,,,,2
168,594045,"Crenshaw Bl at Plaza Del Amo",,33.826922,-118.328697,,,,,,2
169,594043,"Crenshaw Bl at Park Del Amo & SCROC",,33.824578,-118.328667,,,,,,2
170,594041,"Crenshaw Bl at Sepulveda Bl",,33.821198,-118.328589,,,,,,2
171,594039,"Crenshaw Bl at 230th St",,33.817563,-118.328175,,,,,,2
172,594037,"Crenshaw Bl at 235th St",,33.812486,-118.328193,,,,,,2
173,594035,"Crenshaw Bl at 237th St",,33.809692,-118.328150,,,,,,2
174,594033,"Crenshaw Bl at Lomita Bl",,33.805457,-118.328133,,,,,,2
175,594031,"Crenshaw Bl at Torrance Crossroads",,33.803977,-118.328110,,,,,,2
176,594029,"Crenshaw Bl at Skypark Dr",,33.801073,-118.328328,,,,,,2
177,594027,"Crenshaw Bl at Airport Dr",,33.793636,-118.331032,,,,,,2
178,515037,"Pacific Coast Hwy at Crenshaw Bl",,33.792399,-118.333408,,,,,,2
179,572013,"Madrona Av at Carson St",,33.831708,-118.344819,,,,,,2
180,205023,"Torrance Bl at Hawthorne Bl",,33.837717,-118.354100,,,,,,2
181,205021,"Torrance Bl at Earl St",,33.837694,-118.357767,,,,,,2
182,552017,"Anza Av at Torrance Bl",,33.837992,-118.362222,,,,,,2
183,552019,"Anza Av at Emerald St",,33.841128,-118.362225,,,,,,2
184,552021,"Anza Av at Spencer St",,33.844808,-118.362225,,,,,,2
185,552023,"Anza Av at Del Amo Bl",,33.848958,-118.362131,,,,,,2
186,552025,"Anza Av at Halison St",,33.851834,-118.362240,,,,,,2
187,552027,"Anza Av at Narrot St",,33.853561,-118.363219,,,,,,2
188,552029,"Anza Av at Arvada St",,33.856100,-118.365053,,,,,,2
189,552031,"Anza Av at 190th St",,33.858019,-118.365308,,,,,,2
190,153025,"Artesia Bl at Kingsdale Av",,33.872740,-118.356531,,,,,,2
191,153027,"Artesia Bl at Hawthorne Bl",,33.872697,-118.351997,,,,,,2
192,153029,"Artesia Bl at Amie Av",,33.872708,-118.348008,,,,,,2
193,153031,"Artesia Bl at Prairie Av",,33.872711,-118.344103,,,,,,2
194,153033,"Artesia Bl at Ainsworth Av",,33.872722,-118.339117,,,,,,2
195,153035,"Artesia Bl at Yukon Av",,33.872725,-118.335358,,,,,,2
196,153037,"Artesia Bl at Glenburn Av",,33.872736,-118.329928,,,,,,2
223,155037,"Artesia Bl at Glenburn Av",,33.872967,-118.330664,,,,,,2
224,155035,"Artesia Bl at Yukon Av",,33.872967,-118.335583,,,,,,2
225,155033,"Artesia Bl at Ainsworth Av",,33.872956,-118.339950,,,,,,2
226,155031,"Artesia Bl at Prairie Av",,33.872953,-118.344322,,,,,,2
227,155029,"Artesia Bl at Amie Av",,33.872947,-118.348736,,,,,,2
228,155027,"Artesia Bl between Hawthorne Bl & Redondo Beach Bl",,33.872983,-118.353767,,,,,,2
229,155025,"Artesia Bl at Firmona Av",,33.873000,-118.357472,,,,,,2
230,554029,"Anza Av at 190th St",,33.857119,-118.365567,,,,,,2
231,554027,"Anza Av at Narrot St",,33.853728,-118.363708,,,,,,2
232,554025,"Anza Av at Halison St",,33.851472,-118.362400,,,,,,2
233,554023,"Anza Av at Del Amo Bl",,33.848225,-118.362506,,,,,,2
234,554021,"Anza Av at Spencer St",,33.845122,-118.362519,,,,,,2
235,554019,"Anza Av at Emerald St",,33.841547,-118.362503,,,,,,2
236,203019,"Torrance Bl at Anza Av",,33.837472,-118.361928,,,,,,2
238,574015,"Madrona Av at Torrance Bl",,33.836894,-118.345125,,,,,,2
239,574013,"Madrona Av at Carson St",,33.830758,-118.345132,,,,,,2
240,203001,"REDONDO BEACH PIER",,33.838403,-118.389614,,,,,,2
242,203005,"TORRANCE BL + PACIFIC COAST HWY",,33.838067,-118.384947,,,,,,2
243,203007,"TORRANCE BL + CAMINO REAL HELBERTA AV",,33.837617,-118.382144,,,,,,2
244,203009,"TORRANCE BL + JUANITA AV",,33.838039,-118.378788,,,,,,2
245,203011,"TORRANCE BL + PROSPECT AV",,33.838742,-118.375933,,,,,,2
246,203013,"TORRANCE BL + HENRIETTA ST",,33.837486,-118.371883,,,,,,2
247,203015,"TORRANCE BL + PALOS VERDES BL",,33.837475,-118.369539,,,,,,2
248,203017,"TORRANCE BL + VICTOR ST",,33.837469,-118.366578,,,,,,2
249,213025,"Carson St at Del Amo Circle Bl",,33.830986,-118.348206,,,,,,2
250,213029,"CARSON ST + MADRONA AV",,33.831033,-118.344500,,,,,,2
251,213031,"CARSON ST + MAPLE AV",,33.831094,-118.339767,,,,,,2
252,213033,"CARSON ST + HICKORY AV",,33.831136,-118.334769,,,,,,2
253,213035,"CARSON ST + FERN AV",,33.831156,-118.332442,,,,,,2
254,213037,"Carson St at Crenshaw Bl",,33.831173,-118.327786,,,,,,2
255,213039,"CARSON ST + PLAZA DEL AMO",,33.831231,-118.324133,,,,,,2
256,213041,"CARSON ST + MANUEL AV",,33.831281,-118.319561,,,,,,2
257,213043,"Carson St at Arlington Av",,33.831289,-118.318019,,,,,,2
258,213045,"CARSON ST + CABRILLO AV",,33.831325,-118.314008,,,,,,2
259,213047,"CARSON ST + ABALONE AV",,33.831347,-118.312050,,,,,,2
260,213049,"Carson St at Western Av",,33.831344,-118.308722,,,,,,2
