stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1072,1072,"Firestone Boulevard and Paddison Avenue",,33.911326,-118.07896,,,0,,0
1073,1073,"Firestone Boulevard and Pioneer Boulevar",,33.912327,-118.08136,,,0,,0
1074,1074,"Firestone Boulevard and Pioneer Boulevar",,33.913313,-118.082643,,,0,,0
1075,1075,"Florence Avenue and Fulton Wells Avenue-",,33.935188,-118.076666,,,0,,0
1076,1076,"Florence Avenue and Norwalk Boulevard- N",,33.935447,-118.073427,,,0,,0
1077,1077,"Florence Avenue at Kid Zone",,33.935427,-118.089406,,,0,,0
1078,1078,"Florence/Orr & Day",,33.935178,-118.088555,,,0,,0
1079,1079,"Florence Avenue and Pioneer Boulevard- S",,33.935181,-118.08148,,,0,,0
1080,1080,"Florence Avenue and Ringwood Avenue- S/W",,33.935221,-118.084657,,,0,,0
1081,1081,"Florence Avenue at Lake Center Athletic ",,33.935422,-118.085243,,,0,,0
1082,1082,"Orr and Day/Florence",,33.935824,-118.09042,,,0,,0
1083,1083,"Florence/Pioneer",,33.935442,-118.082188,,,0,,0
1084,1084,"Flower Street and Ardmore Avenue - N/E  ",,33.88216,-118.128932,,,0,,0
1085,1085,"Flower Street and Civic Center Drive- N/",,33.882184,-118.12208,,,0,,0
1086,1086,"Flower/Bellflower",,33.882168,-118.126061,,,0,,0
1087,1087,"Foster Road and Bechard Avenue - S/W Cor",,33.909511,-118.062525,,,0,,0
1088,1088,"Foster Road and Bechard Avenue (Soropt. ",,33.909646,-118.062607,,,0,,0
1089,1089,"Foster Road and Greenstone Avenue",,33.909673,-118.058513,,,0,,0
1090,1090,"Foster Road and Greenstone Avenue -S/E C",,33.909538,-118.058182,,,0,,0
1091,1091,"Foster Road and San Antonio Drive- S/W C",,33.907614,-118.076776,,,0,,0
1092,1092,"Foster Road and Shoemaker Avenue - S/W C",,33.909558,-118.055802,,,0,,0
1093,1093,"Foster Road and Stanstead Avenue -S/W Co",,33.909505,-118.064177,,,0,,0
1095,1095,"C Line Station",,33.913358,-118.103808,,,0,,0
1098,1098,"Greenleaf Avenue and Broadway",,33.98604,-118.037248,,,0,,0
1099,1099,"Greenleaf Avenue and Broadway",,33.986124,-118.037457,,,0,,0
1100,1100,"Greenleaf Avenue and Hadley Street",,33.982944,-118.037249,,,0,,0
1101,1101,"Hadley Street and Friends Avenue",,33.982812,-118.033668,,,0,,0
1102,1102,"Hadley Street and Painter Avenue",,33.982614,-118.032956,,,0,,0
1103,1103,"Hadley Street and Washington Boulevard",,33.98262,-118.035278,,,0,,0
1104,1104,"Idaho Street opposite Las Lomas",,33.921625,-117.959303,,,0,,0
1105,1105,"Imperial Highway and 12501 Imperial High",,33.917271,-118.067055,,,0,,0
1106,1106,"Imperial Highway and 1st Avenue- N/W Cor",,33.917444,-117.986022,,,0,,0
1107,1107,"Imperial Highway and 1st Avenue- S/W Cor",,33.917206,-117.985781,,,0,,0
1108,1108,"Imperial Highway and Beach Boulevard- N/",,33.917482,-117.96858,,,0,,0
1109,1109,"Imperial Highway and Biola Avenue- S/W C",,33.917026,-118.019231,,,0,,0
1110,1110,"Imperial Highway and Bloomfield Avenue- ",,33.917277,-118.063511,,,0,,0
1111,1111,"Imperial Highway and Bloomfield Avenue- ",,33.917031,-118.063411,,,0,,0
1112,1112,"Imperial Highway and Burgess Avenue- N/W",,33.91724,-118.024187,,,0,,0
1113,1113,"Imperial Highway and Burgess Avenue- S/W",,33.917,-118.024189,,,0,,0
