OBJECTID,VAR_ROUTE,VAR_IDENT,VAR_DESCR,VAR_DIREC,MetroCategory,MetroBusType,RouteNumber,RouteName,TOOLTIP,NLA_URL
418,234,S2,SYLMAR STATION,1,LocalNonCBD,Metro Local and Limited,234,234 SYLMAR - SHERMAN OAKS  VIA SEPULVEDA BL,234 SYLMAR - SHERMAN OAKS  VIA SEPULVEDA BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
419,236,N1,End to End,0,LocalNonCBD,Metro Local and Limited,236,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
420,236,N2,BALBOA HAYNES ARR/LVE,0,LocalNonCBD,Metro Local and Limited,236,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
421,236,N3,BALBOA NORTH TO SYLMAR,0,LocalNonCBD,Metro Local and Limited,236,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
422,236,S1,End to End,1,LocalNonCBD,Metro Local and Limited,236,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
423,236,S2,INDEX START,1,LocalNonCBD,Metro Local and Limited,236,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
424,236,S3,BALBOA NORTH FROM SYLMAR,1,LocalNonCBD,Metro Local and Limited,236,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST,236 SYLMAR STA-ENCINO VIA BALBOA BL RINALDI ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
425,237,E1,ZELVEN TO NOHO STA,2,LocalNonCBD,Metro Local and Limited,237,237 ENCINO-N. HOLYWD VIA WOODLEY-WHITE OAK BURBANK BL,237 ENCINO-N. HOLYWD VIA WOODLEY-WHITE OAK BURBANK BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
426,237,E2,KENNEDY H.S.,2,LocalNonCBD,Metro Local and Limited,237,237 ENCINO-N. HOLYWD VIA WOODLEY-WHITE OAK BURBANK BL,237 ENCINO-N. HOLYWD VIA WOODLEY-WHITE OAK BURBANK BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
427,237,W1,NOHO STA TO ZELVEN,3,LocalNonCBD,Metro Local and Limited,237,237 ENCINO-N. HOLYWD VIA WOODLEY-WHITE OAK BURBANK BL,237 ENCINO-N. HOLYWD VIA WOODLEY-WHITE OAK BURBANK BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
428,237,W2,Granada Hills High School,3,LocalNonCBD,Metro Local and Limited,237,237 ENCINO-N. HOLYWD VIA WOODLEY-WHITE OAK BURBANK BL,237 ENCINO-N. HOLYWD VIA WOODLEY-WHITE OAK BURBANK BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
429,240,E1,RESEDA TO UNIVERSAL LINE 240 (CSUN),2,LocalNonCBD,Metro Local and Limited,240,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
430,240,E10,OWL (bypass CSUN after 1030p),2,LocalNonCBD,Metro Local and Limited,240,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
431,240,W1,UNIVERSAL TO RESEDA BL LINE 240 (CSUN),3,LocalNonCBD,Metro Local and Limited,240,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
432,240,W10,OWL (bypass CSUN after 1030pm),3,LocalNonCBD,Metro Local and Limited,240,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
433,240,W2,BALBOA TO RESEDA,3,LocalNonCBD,Metro Local and Limited,240,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS,240 NORTHRIDGE-UNIVERSAL CITY VIA VENTURA-RESEDA BLS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
434,242,N242,N/B 242 VENJUM TO DEVWIN VIA TAMPA,0,LocalNonCBD,Metro Local and Limited,242,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
435,242,N243,N/B 243 VENAUR TO DEVOAK VIA WINNETKA,0,LocalNonCBD,Metro Local and Limited,242,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
436,242,N243T,Taft School Tripper,0,LocalNonCBD,Metro Local and Limited,242,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
437,242,S242,S/B 242  FROM DEVOAK TO VENAUR VIA TAMPA,1,LocalNonCBD,Metro Local and Limited,242,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
438,242,S243,S/B 243 FROM DEVWIN TO VENJUM VIA WINNETKA,1,LocalNonCBD,Metro Local and Limited,242,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS,242 NORTHRIDGE - TARZANA VIA TAMPA - WINNETKA AVS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
439,244,N1,TO CHATWORTH STATION,0,LocalNonCBD,Metro Local and Limited,244,244 CHATSWORTH STA-WOODLAND HILLS VIA DE SOTO AV,244 CHATSWORTH STA-WOODLAND HILLS VIA DE SOTO AV\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
440,244,N2,WOODLAND HILLS MS,0,LocalNonCBD,Metro Local and Limited,244,244 CHATSWORTH STA-WOODLAND HILLS VIA DE SOTO AV,244 CHATSWORTH STA-WOODLAND HILLS VIA DE SOTO AV\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
441,244,S1,TO DE SOTO AND VENTURA,1,LocalNonCBD,Metro Local and Limited,244,244 CHATSWORTH STA-WOODLAND HILLS VIA DE SOTO AV,244 CHATSWORTH STA-WOODLAND HILLS VIA DE SOTO AV\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
442,244,S2,CHATSWORTH H.S.,1,LocalNonCBD,Metro Local and Limited,244,244 CHATSWORTH STA-WOODLAND HILLS VIA DE SOTO AV,244 CHATSWORTH STA-WOODLAND HILLS VIA DE SOTO AV\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
443,246,N1,End to End Weekday,0,LocalNonCBD,Metro Local and Limited,246,246 HARBOR GATEWAY TRANS CTR - SAN PEDRO VIA AVALON BL,246 HARBOR GATEWAY TRANS CTR - SAN PEDRO VIA AVALON BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
444,246,N3,Pacific/21st LO,0,LocalNonCBD,Metro Local and Limited,246,246 HARBOR GATEWAY TRANS CTR - SAN PEDRO VIA AVALON BL,246 HARBOR GATEWAY TRANS CTR - SAN PEDRO VIA AVALON BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
445,246,S1,246 End to End,1,LocalNonCBD,Metro Local and Limited,246,246 HARBOR GATEWAY TRANS CTR - SAN PEDRO VIA AVALON BL,246 HARBOR GATEWAY TRANS CTR - SAN PEDRO VIA AVALON BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
446,246,S3,PAC21L,1,LocalNonCBD,Metro Local and Limited,246,246 HARBOR GATEWAY TRANS CTR - SAN PEDRO VIA AVALON BL,246 HARBOR GATEWAY TRANS CTR - SAN PEDRO VIA AVALON BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
447,251,N1,LONGRE TO A28IDE,0,LocalNonCBD,Metro Local and Limited,251,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
448,251,N3,Palm & Seville,0,LocalNonCBD,Metro Local and Limited,251,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
449,251,N4,SOTO & 6TH AR/LV SCH,0,LocalNonCBD,Metro Local and Limited,251,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
450,251,N5,OWL,0,LocalNonCBD,Metro Local and Limited,251,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
451,251,N6,OWL TO AVE.28,0,LocalNonCBD,Metro Local and Limited,251,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
452,251,N8,DALBRO TO COLEDA,0,LocalNonCBD,Metro Local and Limited,251,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
453,251,S1,End to End,1,LocalNonCBD,Metro Local and Limited,251,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
454,251,S3,Palm & Seville,1,LocalNonCBD,Metro Local and Limited,251,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
455,251,S6,COLEDA TO DALBRO,1,LocalNonCBD,Metro Local and Limited,251,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST,251 EAGLE ROCK-LONG BCH C-STA VIA EAGLE ROCK-SOTO ST\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
456,256,N1,END TO END,0,LocalNonCBD,Metro Local and Limited,256,256 HIGHLAND PARK STA - SIERRA MADRE VILLA STA,256 HIGHLAND PARK STA - SIERRA MADRE VILLA STA\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
457,256,N2,YORFIG - RAYHOL,0,LocalNonCBD,Metro Local and Limited,256,256 HIGHLAND PARK STA - SIERRA MADRE VILLA STA,256 HIGHLAND PARK STA - SIERRA MADRE VILLA STA\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
458,256,S1,END TO END,1,LocalNonCBD,Metro Local and Limited,256,256 HIGHLAND PARK STA - SIERRA MADRE VILLA STA,256 HIGHLAND PARK STA - SIERRA MADRE VILLA STA\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
459,258,N1,END TO END,0,LocalNonCBD,Metro Local and Limited,258,258 HIGHLAND PARK - PARAMOUNT VIA FREMONT - EASTERN,258 HIGHLAND PARK - PARAMOUNT VIA FREMONT - EASTERN\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
460,258,S1,END TO END,1,LocalNonCBD,Metro Local and Limited,258,258 HIGHLAND PARK - PARAMOUNT VIA FREMONT - EASTERN,258 HIGHLAND PARK - PARAMOUNT VIA FREMONT - EASTERN\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
461,260,N1,END TO END,0,LocalNonCBD,Metro Local and Limited,260,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
462,260,N2,FROM JOSATL LAYOVER,0,LocalNonCBD,Metro Local and Limited,260,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
463,260,S1,END TO END,1,LocalNonCBD,Metro Local and Limited,260,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
464,260,S2,CECILIA ATLANTIC L.O..,1,LocalNonCBD,Metro Local and Limited,260,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
465,260,S3,TO JOSATL LAYOVER.,1,LocalNonCBD,Metro Local and Limited,260,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS,260 ARTESIA STATION-PASADENA VIA ATLANTIC - FAIR OAKS\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
466,265,N1,WHITTIER/ROSEMEAD,0,LocalNonCBD,Metro Local and Limited,265,265 PICO RIVERA - LAKEWOOD CTR MALL VIA PARAMOUNT BL,265 PICO RIVERA - LAKEWOOD CTR MALL VIA PARAMOUNT BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
467,265,N2,PARBRO WARREN HS TRIPPER,0,LocalNonCBD,Metro Local and Limited,265,265 PICO RIVERA - LAKEWOOD CTR MALL VIA PARAMOUNT BL,265 PICO RIVERA - LAKEWOOD CTR MALL VIA PARAMOUNT BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
468,265,S1,WHITTIER/ROSEMEAD,1,LocalNonCBD,Metro Local and Limited,265,265 PICO RIVERA - LAKEWOOD CTR MALL VIA PARAMOUNT BL,265 PICO RIVERA - LAKEWOOD CTR MALL VIA PARAMOUNT BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
469,266,N1,MAIN VARIANT,0,LocalNonCBD,Metro Local and Limited,266,266 S MADRE VILLA STA-LAKEWOOD CTR MALL VIA ROSEMEAD,266 S MADRE VILLA STA-LAKEWOOD CTR MALL VIA ROSEMEAD\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
470,266,S1,MAIN VARIANT,1,LocalNonCBD,Metro Local and Limited,266,266 S MADRE VILLA STA-LAKEWOOD CTR MALL VIA ROSEMEAD,266 S MADRE VILLA STA-LAKEWOOD CTR MALL VIA ROSEMEAD\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
471,267,N1,267 - LOWER EL MONTE STA TO DEL MAR STA,0,LocalNonCBD,Metro Local and Limited,267,267 EL MONTE STA- PASADENA VIA TEMPLE CITY BL DEL MAR,267 EL MONTE STA- PASADENA VIA TEMPLE CITY BL DEL MAR\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
472,267,S1,267 - DEL MAR STA TO LOWER EL MONTE STA,1,LocalNonCBD,Metro Local and Limited,267,267 EL MONTE STA- PASADENA VIA TEMPLE CITY BL DEL MAR,267 EL MONTE STA- PASADENA VIA TEMPLE CITY BL DEL MAR\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
473,268,N1,LOWELM TO SIERRA MADRE STATION,0,LocalNonCBD,Metro Local and Limited,268,268 SIERRA MADRE VILLA STA - EL MONTE STA VIA BALDWIN,268 SIERRA MADRE VILLA STA - EL MONTE STA VIA BALDWIN\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
474,268,S1,SIERRA MADRE STA TO LOWELM,1,LocalNonCBD,Metro Local and Limited,268,268 SIERRA MADRE VILLA STA - EL MONTE STA VIA BALDWIN,268 SIERRA MADRE VILLA STA - EL MONTE STA VIA BALDWIN\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
475,287,N1,END TO END,0,LocalNonCBD,Metro Local and Limited,287,287 MONTEBELLO- EL MONTE- ARCADIA VIA RUSH SANTA ANITA,287 MONTEBELLO- EL MONTE- ARCADIA VIA RUSH SANTA ANITA\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
476,287,S1,END TO END,1,LocalNonCBD,Metro Local and Limited,287,287 MONTEBELLO- EL MONTE- ARCADIA VIA RUSH SANTA ANITA,287 MONTEBELLO- EL MONTE- ARCADIA VIA RUSH SANTA ANITA\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
477,294,N1,END TO END,0,LocalNonCBD,Metro Local and Limited,294,294 SYLMAR STA - BURBANK STA - VIA SAN FERNANDO RD,294 SYLMAR STA - BURBANK STA - VIA SAN FERNANDO RD\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
478,294,S1,END TO END,1,LocalNonCBD,Metro Local and Limited,294,294 SYLMAR STA - BURBANK STA - VIA SAN FERNANDO RD,294 SYLMAR STA - BURBANK STA - VIA SAN FERNANDO RD\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
479,344,N1,END TO END,0,LimExp,Metro Local and Limited,344,344 HARBOR GATEWAY TC - PALOS VERDES VIA HAWTHORNE BL,344 HARBOR GATEWAY TC - PALOS VERDES VIA HAWTHORNE BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
480,344,S1,END TO END,1,LimExp,Metro Local and Limited,344,344 HARBOR GATEWAY TC - PALOS VERDES VIA HAWTHORNE BL,344 HARBOR GATEWAY TC - PALOS VERDES VIA HAWTHORNE BL\nType: Metro Local and Limited,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
481,460,E1,END TO END,2,LimExp,Metro Express,460,460 DOWNTOWN LA - DISNEYLAND VIA HARBOR TWAY-105 FWY,460 DOWNTOWN LA - DISNEYLAND VIA HARBOR TWAY-105 FWY\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
482,460,W1,END TO END,3,LimExp,Metro Express,460,460 DOWNTOWN LA - DISNEYLAND VIA HARBOR TWAY-105 FWY,460 DOWNTOWN LA - DISNEYLAND VIA HARBOR TWAY-105 FWY\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
483,460,W2,TERMINATING @ 6THMAI,3,LimExp,Metro Express,460,460 DOWNTOWN LA - DISNEYLAND VIA HARBOR TWAY-105 FWY,460 DOWNTOWN LA - DISNEYLAND VIA HARBOR TWAY-105 FWY\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
484,487,E1,END TO END,2,LimExp,Metro Express,487,487 DOWNTOWN LA - SIERRA MADRE VILLA STA,487 DOWNTOWN LA - SIERRA MADRE VILLA STA\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
485,487,E2,ROUTE 489,2,LimExp,Metro Express,487,487 DOWNTOWN LA - SIERRA MADRE VILLA STA,487 DOWNTOWN LA - SIERRA MADRE VILLA STA\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
486,487,E3,ELMALA - DELMAR,2,LimExp,Metro Express,487,487 DOWNTOWN LA - SIERRA MADRE VILLA STA,487 DOWNTOWN LA - SIERRA MADRE VILLA STA\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
487,487,W1,END TO END,3,LimExp,Metro Express,487,487 DOWNTOWN LA - SIERRA MADRE VILLA STA,487 DOWNTOWN LA - SIERRA MADRE VILLA STA\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
488,487,W2,ROUTE 489,3,LimExp,Metro Express,487,487 DOWNTOWN LA - SIERRA MADRE VILLA STA,487 DOWNTOWN LA - SIERRA MADRE VILLA STA\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
489,487,W3,DELMAR - ELMALA,3,LimExp,Metro Express,487,487 DOWNTOWN LA - SIERRA MADRE VILLA STA,487 DOWNTOWN LA - SIERRA MADRE VILLA STA\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
490,487,W4,5THFLOWER,3,LimExp,Metro Express,487,487 DOWNTOWN LA - SIERRA MADRE VILLA STA,487 DOWNTOWN LA - SIERRA MADRE VILLA STA\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
491,501,E1,PASADENA VIA GLENDALE,2,LimExp,Metro Express,501,501 PASADENA - N. HOLLYWOOD STA VIA 134 FWY,501 PASADENA - N. HOLLYWOOD STA VIA 134 FWY\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
492,501,W1,NORTH HOLLYWOOD VIA GLENDALE,3,LimExp,Metro Express,501,501 PASADENA - N. HOLLYWOOD STA VIA 134 FWY,501 PASADENA - N. HOLLYWOOD STA VIA 134 FWY\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
493,550,N1,END TO END,0,LimExp,Metro Express,550,550 JEFFERSON PRK - HARBOR GATWY TC VIA HARBR TRANS WY,550 JEFFERSON PRK - HARBOR GATWY TC VIA HARBR TRANS WY\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
494,550,S1,END TO END,1,LimExp,Metro Express,550,550 JEFFERSON PRK - HARBOR GATWY TC VIA HARBR TRANS WY,550 JEFFERSON PRK - HARBOR GATWY TC VIA HARBR TRANS WY\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
495,577,N1,LONG BEACH VA HOSP SHORTLINE,0,LimExp,Metro Express,577,577 EL MONTE STA- LONG BEACH VA MED CTR VIA I-605 FWY,577 EL MONTE STA- LONG BEACH VA MED CTR VIA I-605 FWY\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
496,577,S1,LONG BEACH VA HOSP SHORTLINE,1,LimExp,Metro Express,577,577 EL MONTE STA- LONG BEACH VA MED CTR VIA I-605 FWY,577 EL MONTE STA- LONG BEACH VA MED CTR VIA I-605 FWY\nType: Metro Express,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
497,601,N1,NORTHBOUND,0,ComCirc,Metro Shuttles and Circulators,601,601 WARNER CENTER CIRCULATOR,601 WARNER CENTER CIRCULATOR\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
498,601,N2,OWL to/from Ventura Bl.,0,ComCirc,Metro Shuttles and Circulators,601,601 WARNER CENTER CIRCULATOR,601 WARNER CENTER CIRCULATOR\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
499,601,S1,SOUTHBOUND,1,ComCirc,Metro Shuttles and Circulators,601,601 WARNER CENTER CIRCULATOR,601 WARNER CENTER CIRCULATOR\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
500,602,E1,End-End,2,ComCirc,Metro Shuttles and Circulators,602,602 WESTWOOD - PACIFIC PALISADES VIA SUNSET BL,602 WESTWOOD - PACIFIC PALISADES VIA SUNSET BL\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
501,602,E2,CHURCH LANE,2,ComCirc,Metro Shuttles and Circulators,602,602 WESTWOOD - PACIFIC PALISADES VIA SUNSET BL,602 WESTWOOD - PACIFIC PALISADES VIA SUNSET BL\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
502,602,E5,Revere School Trip,2,ComCirc,Metro Shuttles and Circulators,602,602 WESTWOOD - PACIFIC PALISADES VIA SUNSET BL,602 WESTWOOD - PACIFIC PALISADES VIA SUNSET BL\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
503,602,W1,End-End,3,ComCirc,Metro Shuttles and Circulators,602,602 WESTWOOD - PACIFIC PALISADES VIA SUNSET BL,602 WESTWOOD - PACIFIC PALISADES VIA SUNSET BL\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
