stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
10167,10167,"Cesar Chavez/Collegian",,34.0383872313,-118.1473222159,,,0,,0
1017,1017,"Whittier/Goodrich",,34.019492,-118.153142,,,0,,0
1018,1018,"Whittier/Michigan",,33.959833,-118.026866,,,0,,0
1019,1019,"Whittier/Hoefner",,34.018943,-118.150556,,,0,,0
1020,1020,"Whittier/Laurel",,33.960984,-118.02896,,,0,,0
1021,1021,"Whittier/Gerhart",,34.018281,-118.147475,,,0,,0
1022,1022,"Whittier/Central",,33.962251,-118.03108,,,0,,0
1023,1023,"Whittier/Keenan",,34.017834,-118.145407,,,0,,0
1024,1024,"Painter/Ramona",,33.964222,-118.032611,,,0,,0
1025,1025,"Whittier/Leonard",,34.017294,-118.142895,,,0,,0
1026,1026,"Painter/Russell",,33.965711,-118.032617,,,0,,0
1027,1027,"Whittier/Findlay",,34.016458,-118.138845,,,0,,0
1028,1028,"Painter/La Cuarta",,33.967846,-118.032624,,,0,,0
1029,1029,"Whittier/Saybrook",,34.015836,-118.136043,,,0,,0
1030,1030,"Painter/Walnut",,33.971184,-118.032596,,,0,,0
1031,1031,"Whittier/Via Del Oro",,34.015106,-118.132589,,,0,,0
1032,1032,"Painter/Mar Vista",,33.973253,-118.032622,,,0,,0
1033,1033,"Whittier/Garfield",,34.014523,-118.129676,,,0,,0
1034,1034,"Painter/Penn",,33.975037,-118.032611,,,0,,0
1035,1035,"Whittier/Concourse",,34.013776,-118.126196,,,0,,0
1036,1036,"Painter/Wardman",,33.977081,-118.032604,,,0,,0
1037,1037,"Whittier/21st",,34.01311,-118.122982,,,0,,0
1038,1038,"Philadelphia / Painter",,33.979124,-118.033015,,,0,,0
1039,1039,"Whittier/19th",,34.012691,-118.121084,,,0,,0
1040,1040,"Philadelphia/Washington",,33.979158,-118.034869,,,0,,0
1041,1041,"Whittier/Maple",,34.011724,-118.117162,,,0,,0
1042,1042,"Philadelphia/Greenleaf",,33.979173,-118.037764,,,0,,0
1043,1043,"Whittier/Taylor",,34.011287,-118.114573,,,0,,0
1044,1044,"Philadelphia/Comstock",,33.979165,-118.038969,,,0,,0
1045,1045,"Whittier/Greenwood",,34.010925,-118.112609,,,0,,0
1046,1046,"Philadelphia/Gregory",,33.979168,-118.046358,,,0,,0
1047,1047,"Whittier / Montebello",,34.009959,-118.107891,,,0,,0
1048,1048,"Philadelphia/Whittier",,33.979151,-118.049017,,,0,,0
1049,1049,"Whittier/6th",,34.009501,-118.105789,,,0,,0
1050,1050,"Whittier/Sorenson",,33.981122,-118.050893,,,0,,0
1051,1051,"Whittier/4th",,34.0091227974,-118.1042087632,,,0,,0
1052,1052,"Whittier/Hadley",,33.982594,-118.053083,,,0,,0
1053,1053,"Whittier/2nd",,34.008704,-118.102023,,,0,,0
1054,1054,"Whittier/Western",,33.984073,-118.05528,,,0,,0
1055,1055,"Whittier/Myrtle",,34.006032,-118.094916,,,0,,0
1056,1056,"Whittier/Broadway",,33.985568,-118.05756,,,0,,0
1057,1057,"Whittier/Paramount",,34.003515,-118.089196,,,0,,0
1058,1058,"Whittier/GlenGarry",,33.987794,-118.060763,,,0,,0
1059,1059,"Whittier/Columbia",,34.002357,-118.086701,,,0,,0
1060,1060,"Whittier/Norwalk",,33.990229,-118.064342,,,0,,0
1061,1061,"Whittier / Rosemead",,34.0011270208,-118.0835442184,,,0,,0
1062,1062,"Whittier/Redman",,33.991927,-118.066807,,,0,,0
1063,1063,"Whittier/Lindsey",,34.00014,-118.081549,,,0,,0
1064,1064,"Whittier/Esperanza",,33.994307,-118.070426,,,0,,0
